experiment,model,accuracy,log_loss,draw_real_rate,draw_pred_rate
Exp 3 - Contextual calibrator,poisson_contextual_multinomial_calibrator,0.6036955322669608,0.8609254147859821,0.23083287369001654,0.001654715940430226
Exp 1 - Baseline,oof_multinomial_calibrator,0.6047986762272477,0.8632988514749312,0.23083287369001654,0.022614451185879757
Exp 1 - Baseline,raw,0.604522890237176,0.8669818297080878,0.23083287369001654,0.0
Exp 3B - Draw-focused contextual calibrator,poisson_draw_focused_contextual_calibrator,0.6036955322669608,0.8673551167985414,0.23083287369001654,0.0002757859900717044
Exp 1 - Baseline,blended,0.6003861003861004,0.8933657695696725,0.23083287369001654,0.0
Exp 2 - Balanced class weight,poisson_multinomial_balanced_calibrator,0.5642581356867071,0.8996758484006048,0.23083287369001654,0.26475455046883617
Exp 4A - Bivariate Poisson,bivariate_poisson_common_factor_0.0,0.604522890237176,1.8046821173740302,0.23083287369001654,0.0
